country,year,nuclear_electricity
"South Africa (2100) - ARIMA (0, 2, 2)",2023,11.568218228954365
"South Africa (2100) - ARIMA (0, 2, 2)",2024,14.629901339103741
"South Africa (2100) - ARIMA (0, 2, 2)",2025,17.691584449253117
"South Africa (2100) - ARIMA (0, 2, 2)",2026,20.753267559402495
"South Africa (2100) - ARIMA (0, 2, 2)",2027,23.81495066955187
"South Africa (2100) - ARIMA (0, 2, 2)",2028,26.876633779701248
"South Africa (2100) - ARIMA (0, 2, 2)",2029,29.938316889850626
"South Africa (2100) - ARIMA (0, 2, 2)",2030,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2031,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2032,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2033,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2034,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2035,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2036,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2037,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2038,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2039,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2040,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2041,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2042,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2043,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2044,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2045,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2046,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2047,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2048,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2049,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2050,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2051,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2052,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2053,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2054,33.0
"South Africa (2100) - ARIMA (0, 2, 2)",2055,33.0
